"id","has_settlement","allegation_count","complaint_category"
"12967","0","16","Use Of Force"
"13206","0","3","Bribery / Official Corruption"
"13240","0","4","Illegal Search"
"13299","0","2","Conduct Unbecoming (Off-Duty)"
"14361","0","18","Use Of Force"
"14805","0","2","Lockup Procedures"
"14832","0","3","Use Of Force"
"15221","0","1","Operation/Personnel Violations"
"15758","0","1","Operation/Personnel Violations"
"16441","0","26","Use Of Force"
"16673","0","9","Operation/Personnel Violations"
"16781","0","4","Operation/Personnel Violations"
"17370","0","7","Operation/Personnel Violations"
"17595","0","16","Use Of Force"
"18117","0","6","Verbal Abuse"
"18404","0","2","Illegal Search"
"19061","0","3","Operation/Personnel Violations"
"19115","0","1","Operation/Personnel Violations"
"19329","0","42","Illegal Search"
"19838","0","4","Operation/Personnel Violations"
"19845","0","27","Illegal Search"
"19865","0","6","Use Of Force"
"20638","0","5","Operation/Personnel Violations"
"20867","0","10","Illegal Search"
"21071","0","1","Operation/Personnel Violations"
"21856","1","35","Operation/Personnel Violations"
"22102","0","11","Verbal Abuse"
"22916","0","1","Operation/Personnel Violations"
"23030","0","9","Operation/Personnel Violations"
"23090","0","3","Use Of Force"
"23110","0","3","False Arrest"
"23146","0","1","Drug / Alcohol Abuse"
"23176","0","7","Lockup Procedures"
"23772","0","2","Operation/Personnel Violations"
"23870","1","18","Use Of Force"
"24715","0","14","Operation/Personnel Violations"
"24782","0","9","Operation/Personnel Violations"
"24880","0","1","Operation/Personnel Violations"
"25055","0","4","Conduct Unbecoming (Off-Duty)"
"25240","0","6","Operation/Personnel Violations"
"25562","0","2","Illegal Search"
"25725","0","5","Illegal Search"
"25946","0","5","Operation/Personnel Violations"
"25999","0","17","Use Of Force"
"27183","0","3","Lockup Procedures"
"27385","0","29","Use Of Force"
"27687","0","34","Illegal Search"
"28683","0","3","Conduct Unbecoming (Off-Duty)"
"28720","0","1","Operation/Personnel Violations"
"29299","0","38","Illegal Search"
"29695","0","9","Use Of Force"
"31503","1","4","Conduct Unbecoming (Off-Duty)"
"31545","0","2","Operation/Personnel Violations"
"31598","0","22","Use Of Force"
"222","0","5","Operation/Personnel Violations"
"270","0","33","Use Of Force"
"293","0","3","Operation/Personnel Violations"
"730","0","3","Use Of Force"
"938","0","1","Lockup Procedures"
"1127","0","21","Operation/Personnel Violations"
"1145","0","9","Illegal Search"
"1371","0","28","Use Of Force"
"1551","0","2","Criminal Misconduct"
"1642","0","14","Use Of Force"
"2570","1","9","Illegal Search"
"2909","0","3","Use Of Force"
"2989","0","4","Operation/Personnel Violations"
"2994","0","1","Criminal Misconduct"
"3704","0","10","Illegal Search"
"3845","0","8","Operation/Personnel Violations"
"3937","0","1","Conduct Unbecoming (Off-Duty)"
"4551","0","1","Traffic"
"5079","0","36","Use Of Force"
"5617","0","10","Use Of Force"
"6156","0","3","Illegal Search"
"6675","0","5","Illegal Search"
"6856","0","10","Operation/Personnel Violations"
"6860","0","4","Illegal Search"
"7121","0","11","Operation/Personnel Violations"
"7635","0","3","Operation/Personnel Violations"
"7679","0","7","Operation/Personnel Violations"
"7847","0","1","Operation/Personnel Violations"
"8330","0","37","Operation/Personnel Violations"
"9068","0","8","Use Of Force"
"9691","0","11","False Arrest"
"9712","1","31","Operation/Personnel Violations"
"9793","0","1","Verbal Abuse"
"10014","1","40","Illegal Search"
"10430","0","2","Operation/Personnel Violations"
"10573","0","1","Use Of Force"
"11243","0","29","Use Of Force"
"11988","0","4","Operation/Personnel Violations"
"13659","0","8","Operation/Personnel Violations"
"13832","0","4","Criminal Misconduct"
"14064","0","6","Operation/Personnel Violations"
"14178","0","2","Illegal Search"
"14215","0","34","Operation/Personnel Violations"
"14543","0","32","Operation/Personnel Violations"
"14562","0","12","Operation/Personnel Violations"
"15133","0","25","Use Of Force"
"15197","0","13","Illegal Search"
"15559","0","3","Illegal Search"
"15894","0","15","Traffic"
"16499","0","17","Illegal Search"
"16538","0","4","Operation/Personnel Violations"
"16675","0","33","Use Of Force"
"17061","0","13","Use Of Force"
"17111","0","35","Illegal Search"
"17135","0","6","Operation/Personnel Violations"
"17201","0","18","Operation/Personnel Violations"
"17558","0","1","Domestic"
"17647","0","70","Use Of Force"
"17757","0","13","Use Of Force"
"17814","0","4","Operation/Personnel Violations"
"19390","0","2","Operation/Personnel Violations"
"19483","0","5","Drug / Alcohol Abuse"
"20444","0","1","Drug / Alcohol Abuse"
"20977","0","4","Operation/Personnel Violations"
"21065","0","26","Operation/Personnel Violations"
"21121","0","27","Use Of Force"
"21138","0","9","Illegal Search"
"21467","0","1","Verbal Abuse"
"21640","0","40","Operation/Personnel Violations"
"21653","0","19","Use Of Force"
"21832","0","8","Illegal Search"
"22334","0","2","Operation/Personnel Violations"
"22613","0","50","Operation/Personnel Violations"
"22707","0","1","Use Of Force"
"22784","0","5","Operation/Personnel Violations"
"22808","0","7","Operation/Personnel Violations"
"23125","0","8","Operation/Personnel Violations"
"23304","0","19","Use Of Force"
"23335","0","6","Operation/Personnel Violations"
"23654","0","4","Operation/Personnel Violations"
"24171","0","16","Operation/Personnel Violations"
"24352","0","8","Illegal Search"
"24835","0","19","Operation/Personnel Violations"
"25216","0","1","Operation/Personnel Violations"
"25759","0","9","Operation/Personnel Violations"
"27128","0","12","Operation/Personnel Violations"
"27323","0","6","Illegal Search"
"27440","0","7","Supervisory Responsibilities"
"27693","0","2","Operation/Personnel Violations"
"28138","1","42","Illegal Search"
"28283","0","16","Use Of Force"
"28555","0","8","Operation/Personnel Violations"
"29207","0","14","Lockup Procedures"
"29649","0","4","Operation/Personnel Violations"
"29764","0","9","Illegal Search"
"29969","0","8","Domestic"
"30537","0","18","Operation/Personnel Violations"
"30797","0","9","Operation/Personnel Violations"
"31111","0","1","Supervisory Responsibilities"
"31126","0","21","Use Of Force"
"31145","0","2","Operation/Personnel Violations"
"31159","0","1","Verbal Abuse"
"31468","0","16","Operation/Personnel Violations"
"31832","0","13","Illegal Search"
"32092","0","14","Use Of Force"
"32204","0","3","Use Of Force"
"32293","1","24","Operation/Personnel Violations"
"243","0","24","Use Of Force"
"278","0","4","Lockup Procedures"
"367","1","3","Illegal Search"
"442","0","7","Use Of Force"
"720","0","1","Use Of Force"
"1175","0","17","Use Of Force"
"1463","0","5","Operation/Personnel Violations"
"1532","0","9","Use Of Force"
"1690","0","13","Operation/Personnel Violations"
"1936","0","22","Use Of Force"
"2030","0","14","Operation/Personnel Violations"
"2520","0","19","Operation/Personnel Violations"
"2598","0","6","Use Of Force"
"2797","0","17","Use Of Force"
"2944","0","14","Operation/Personnel Violations"
"3034","0","12","Operation/Personnel Violations"
"3120","0","10","Use Of Force"
"3452","0","3","Supervisory Responsibilities"
"3847","0","1","Operation/Personnel Violations"
"3866","0","2","Operation/Personnel Violations"
"4072","0","4","Traffic"
"4191","0","4","Lockup Procedures"
"4509","0","1","Use Of Force"
"5572","1","13","Illegal Search"
"6230","0","2","Use Of Force"
"6287","0","2","Criminal Misconduct"
"6806","0","7","Use Of Force"
"6885","0","19","Operation/Personnel Violations"
"6905","0","5","Operation/Personnel Violations"
"6911","0","4","Supervisory Responsibilities"
"7146","0","2","Operation/Personnel Violations"
"7424","0","10","Operation/Personnel Violations"
"7543","0","1","Conduct Unbecoming (Off-Duty)"
"7595","0","9","Operation/Personnel Violations"
"8509","0","10","Operation/Personnel Violations"
"8791","0","1","Conduct Unbecoming (Off-Duty)"
"8887","0","8","Operation/Personnel Violations"
"8955","0","1","Criminal Misconduct"
"9686","0","34","Use Of Force"
"9775","0","7","Operation/Personnel Violations"
"10205","0","5","Operation/Personnel Violations"
"10433","0","1","Operation/Personnel Violations"
"10779","0","2","Illegal Search"
"10923","0","11","Illegal Search"
"11334","0","9","Operation/Personnel Violations"
"11345","0","9","Operation/Personnel Violations"
"11842","0","6","Use Of Force"
"12402","0","1","Use Of Force"
"12422","0","2","Criminal Misconduct"
"13527","0","6","Operation/Personnel Violations"
"13764","0","4","Operation/Personnel Violations"
"13907","0","12","Operation/Personnel Violations"
"14267","0","11","Traffic"
"14779","0","4","Operation/Personnel Violations"
"15569","0","8","Use Of Force"
"15662","0","6","Lockup Procedures"
"15709","0","22","Operation/Personnel Violations"
"16145","0","6","Conduct Unbecoming (Off-Duty)"
"16158","0","22","Operation/Personnel Violations"
"16754","0","33","Use Of Force"
"16772","0","1","Use Of Force"
"17205","0","19","Use Of Force"
"18341","0","37","Operation/Personnel Violations"
"18406","0","3","Criminal Misconduct"
"18808","0","8","False Arrest"
"19440","0","1","Operation/Personnel Violations"
"19639","1","37","Use Of Force"
"20548","0","1","Operation/Personnel Violations"
"21482","0","14","Use Of Force"
"21596","0","15","Use Of Force"
"21764","0","6","Use Of Force"
"21789","0","12","Use Of Force"
"21820","0","4","Operation/Personnel Violations"
"22353","0","6","Operation/Personnel Violations"
"23273","0","7","Operation/Personnel Violations"
"25431","0","8","Use Of Force"
"26602","0","5","Lockup Procedures"
"26797","0","6","Operation/Personnel Violations"
"26838","0","1","Drug / Alcohol Abuse"
"27911","0","9","Operation/Personnel Violations"
"27998","0","2","False Arrest"
"28241","0","1","Criminal Misconduct"
"28826","0","1","Use Of Force"
"29063","1","8","Operation/Personnel Violations"
"29507","0","4","Operation/Personnel Violations"
"29586","0","12","Operation/Personnel Violations"
"30368","0","3","Operation/Personnel Violations"
"30646","0","25","Operation/Personnel Violations"
"31456","0","24","Use Of Force"
"31644","0","4","Conduct Unbecoming (Off-Duty)"
"32150","0","1","Use Of Force"
"32167","0","35","Illegal Search"
"32294","0","44","Use Of Force"
"32297","0","15","Use Of Force"
"32415","0","11","Illegal Search"
"19","0","5","Verbal Abuse"
"54","0","12","Operation/Personnel Violations"
"926","0","12","Operation/Personnel Violations"
"965","0","21","Use Of Force"
"1280","0","4","Use Of Force"
"1447","0","3","Lockup Procedures"
"1537","0","1","Supervisory Responsibilities"
"1951","0","5","Operation/Personnel Violations"
"2857","0","4","Illegal Search"
"3051","0","5","Use Of Force"
"3069","1","15","Operation/Personnel Violations"
"4082","0","8","Operation/Personnel Violations"
"4256","0","3","Operation/Personnel Violations"
"4552","0","2","Operation/Personnel Violations"
"4848","0","1","Operation/Personnel Violations"
"4929","0","5","Operation/Personnel Violations"
"6162","0","2","Operation/Personnel Violations"
"6183","0","16","Operation/Personnel Violations"
"6189","0","37","Use Of Force"
"6264","0","18","Operation/Personnel Violations"
"6319","0","1","Conduct Unbecoming (Off-Duty)"
"6362","0","11","Illegal Search"
"6363","0","15","Operation/Personnel Violations"
"6407","0","1","Operation/Personnel Violations"
"6508","0","19","Verbal Abuse"
"6700","1","9","Operation/Personnel Violations"
"7077","0","2","Lockup Procedures"
"7233","0","43","Illegal Search"
"7827","0","9","Use Of Force"
"8057","0","4","Operation/Personnel Violations"
"8082","1","31","Illegal Search"
"8133","0","4","Operation/Personnel Violations"
"8243","0","4","Operation/Personnel Violations"
"9332","0","5","Operation/Personnel Violations"
"9341","0","10","Illegal Search"
"9750","0","11","Use Of Force"
"9952","0","43","Operation/Personnel Violations"
"10151","0","7","Use Of Force"
"10374","0","9","Operation/Personnel Violations"
"10510","0","3","Conduct Unbecoming (Off-Duty)"
"10620","0","4","Use Of Force"
"10632","0","10","Operation/Personnel Violations"
"10695","0","8","Operation/Personnel Violations"
"11454","0","4","Operation/Personnel Violations"
"11574","0","10","Operation/Personnel Violations"
"11582","0","5","Illegal Search"
"11634","0","97","Illegal Search"
"11673","0","5","Use Of Force"
"12390","0","26","Operation/Personnel Violations"
"12846","0","1","Use Of Force"
"12873","0","1","Lockup Procedures"
"13447","0","30","Conduct Unbecoming (Off-Duty)"
"14438","0","2","Criminal Misconduct"
"14839","0","16","Illegal Search"
"15274","0","1","Conduct Unbecoming (Off-Duty)"
"15312","0","3","Criminal Misconduct"
"15374","0","4","Illegal Search"
"16276","0","3","Illegal Search"
"16828","0","8","Use Of Force"
"17022","0","3","Verbal Abuse"
"17150","0","1","Operation/Personnel Violations"
"17332","0","6","Operation/Personnel Violations"
"17334","0","3","Illegal Search"
"17393","0","1","Operation/Personnel Violations"
"17465","0","7","Operation/Personnel Violations"
"17803","0","1","Use Of Force"
"18481","0","3","Verbal Abuse"
"18944","0","7","Operation/Personnel Violations"
"19344","1","25","Illegal Search"
"19366","0","19","Operation/Personnel Violations"
"19790","0","34","Use Of Force"
"20257","0","4","Use Of Force"
"20276","0","14","Use Of Force"
"21041","1","56","Illegal Search"
"21438","0","5","Operation/Personnel Violations"
"21577","0","27","Use Of Force"
"21690","0","16","Operation/Personnel Violations"
"22078","0","3","Illegal Search"
"22206","0","2","Conduct Unbecoming (Off-Duty)"
"22215","0","15","Operation/Personnel Violations"
"22515","0","4","Operation/Personnel Violations"
"22594","0","2","Operation/Personnel Violations"
"22858","0","6","Operation/Personnel Violations"
"22927","0","4","Operation/Personnel Violations"
"23119","0","2","Domestic"
"23634","0","7","Operation/Personnel Violations"
"23655","0","3","Use Of Force"
"24398","0","6","Lockup Procedures"
"24459","0","17","Operation/Personnel Violations"
"24532","0","1","Supervisory Responsibilities"
"24568","0","1","Domestic"
"24688","0","3","Illegal Search"
"24957","1","17","Operation/Personnel Violations"
"26080","0","9","Use Of Force"
"26183","1","16","Illegal Search"
"26719","0","5","Operation/Personnel Violations"
"27121","0","2","Operation/Personnel Violations"
"27131","0","2","Operation/Personnel Violations"
"27171","0","7","Operation/Personnel Violations"
"27189","0","1","Lockup Procedures"
"27301","0","8","Traffic"
"27813","0","2","Conduct Unbecoming (Off-Duty)"
"28414","0","6","Illegal Search"
"28582","0","15","Illegal Search"
"28666","0","7","Use Of Force"
"29752","0","14","Use Of Force"
"29972","0","2","Illegal Search"
"30030","0","14","Operation/Personnel Violations"
"30247","0","2","Lockup Procedures"
"30656","0","6","Operation/Personnel Violations"
"31713","0","8","Operation/Personnel Violations"
"32116","0","39","Illegal Search"
"32218","0","12","Use Of Force"
"277","0","1","Conduct Unbecoming (Off-Duty)"
"287","0","16","Operation/Personnel Violations"
"847","0","3","Operation/Personnel Violations"
"1336","0","8","Illegal Search"
"1594","0","11","Illegal Search"
"1958","0","16","Operation/Personnel Violations"
"2157","0","11","Illegal Search"
"2486","0","3","Operation/Personnel Violations"
"2940","0","6","Conduct Unbecoming (Off-Duty)"
"3252","0","7","Operation/Personnel Violations"
"3640","0","3","Operation/Personnel Violations"
"5339","0","7","Conduct Unbecoming (Off-Duty)"
"5417","0","10","Operation/Personnel Violations"
"5692","0","6","Operation/Personnel Violations"
"5741","0","1","Operation/Personnel Violations"
"6172","0","1","False Arrest"
"6361","0","15","Use Of Force"
"6664","1","10","Operation/Personnel Violations"
"6760","1","12","Use Of Force"
"6922","1","18","Operation/Personnel Violations"
"7202","0","4","Use Of Force"
"7612","0","7","Operation/Personnel Violations"
"7800","0","3","Conduct Unbecoming (Off-Duty)"
"7867","0","16","Domestic"
"7949","0","10","Operation/Personnel Violations"
"8493","0","3","Operation/Personnel Violations"
"9019","0","19","Operation/Personnel Violations"
"9102","0","22","Operation/Personnel Violations"
"9135","0","18","Operation/Personnel Violations"
"9891","0","7","Operation/Personnel Violations"
"10028","0","3","Use Of Force"
"10426","0","5","Operation/Personnel Violations"
"11204","0","14","Operation/Personnel Violations"
"11638","0","3","Illegal Search"
"11686","0","11","Illegal Search"
"12085","0","25","Operation/Personnel Violations"
"12216","0","15","Operation/Personnel Violations"
"12253","0","4","Operation/Personnel Violations"
"12467","0","14","Operation/Personnel Violations"
"12881","0","3","Lockup Procedures"
"13317","0","2","Criminal Misconduct"
"13533","0","3","Lockup Procedures"
"13585","0","13","Operation/Personnel Violations"
"13596","0","21","Illegal Search"
"13695","0","18","Use Of Force"
"13732","0","26","Use Of Force"
"13787","0","6","Operation/Personnel Violations"
"13798","0","12","Use Of Force"
"14450","0","18","Operation/Personnel Violations"
"14617","0","11","Illegal Search"
"14676","0","8","Operation/Personnel Violations"
"14883","0","5","Operation/Personnel Violations"
"14939","0","14","Use Of Force"
"14972","0","5","Operation/Personnel Violations"
"15019","0","7","Operation/Personnel Violations"
"15147","0","1","Illegal Search"
"15327","0","7","Operation/Personnel Violations"
"15430","1","49","Operation/Personnel Violations"
"15521","0","2","Operation/Personnel Violations"
"15773","0","7","Operation/Personnel Violations"
"16361","0","29","Use Of Force"
"16492","0","13","Use Of Force"
"16596","0","4","Operation/Personnel Violations"
"16651","0","1","Illegal Search"
"16888","0","4","Operation/Personnel Violations"
"17100","0","4","Bribery / Official Corruption"
"17303","0","4","Use Of Force"
"17336","1","15","Use Of Force"
"17986","0","1","Drug / Alcohol Abuse"
"18429","0","5","Operation/Personnel Violations"
"18433","0","2","Criminal Misconduct"
"18644","0","27","Operation/Personnel Violations"
"18797","0","1","Illegal Search"
"18986","0","10","Lockup Procedures"
"19092","0","7","Operation/Personnel Violations"
"19192","0","16","Operation/Personnel Violations"
"19324","0","19","Use Of Force"
"19484","0","26","Use Of Force"
"19568","0","1","Operation/Personnel Violations"
"19858","0","39","Operation/Personnel Violations"
"19999","0","7","Operation/Personnel Violations"
"20062","0","5","Illegal Search"
"20404","0","19","Use Of Force"
"20461","0","16","Operation/Personnel Violations"
"20588","0","3","Operation/Personnel Violations"
"20729","0","16","Illegal Search"
"20738","0","8","False Arrest"
"20792","0","30","Operation/Personnel Violations"
"20794","0","8","Operation/Personnel Violations"
"20850","0","10","Illegal Search"
"20956","0","14","Operation/Personnel Violations"
"20989","0","2","Operation/Personnel Violations"
"21429","0","11","Operation/Personnel Violations"
"21431","1","19","Lockup Procedures"
"21431","1","19","Lockup Procedures"
"21562","0","13","Illegal Search"
"22170","0","31","Illegal Search"
"22612","0","2","False Arrest"
"24029","0","7","Operation/Personnel Violations"
"24038","0","1","Operation/Personnel Violations"
"24140","1","30","Domestic"
"24286","0","3","Operation/Personnel Violations"
"24390","0","9","Operation/Personnel Violations"
"24600","0","4","Operation/Personnel Violations"
"24620","0","2","Lockup Procedures"
"25124","0","18","Use Of Force"
"25671","0","3","Criminal Misconduct"
"26100","0","29","Illegal Search"
"26144","0","2","Operation/Personnel Violations"
"26274","0","1","Illegal Search"
"26592","0","1","Drug / Alcohol Abuse"
"26692","1","46","Use Of Force"
"26782","0","2","False Arrest"
"27430","0","5","Conduct Unbecoming (Off-Duty)"
"27468","0","5","Domestic"
"27531","0","2","Drug / Alcohol Abuse"
"28408","0","8","Use Of Force"
"28566","0","3","Operation/Personnel Violations"
"28673","0","3","Operation/Personnel Violations"
"30400","0","11","Operation/Personnel Violations"
"30593","0","34","Illegal Search"
"30634","0","20","Operation/Personnel Violations"
"30707","0","17","Operation/Personnel Violations"
"30769","0","16","Operation/Personnel Violations"
"31150","0","13","Operation/Personnel Violations"
"31164","0","4","Use Of Force"
"31212","0","6","Criminal Misconduct"
"31444","0","21","Use Of Force"
"32035","0","14","Illegal Search"
"32113","0","7","Operation/Personnel Violations"
"32154","1","35","Illegal Search"
"32154","1","35","Illegal Search"
"32154","1","35","Illegal Search"
"32154","1","35","Illegal Search"
"32240","1","21","Use Of Force"
"32240","1","21","Use Of Force"
"502","0","7","Operation/Personnel Violations"
"1480","0","14","Operation/Personnel Violations"
"2088","0","11","Operation/Personnel Violations"
"2244","0","4","Illegal Search"
"2583","0","6","Operation/Personnel Violations"
"2900","0","4","Operation/Personnel Violations"
"3144","0","1","Operation/Personnel Violations"
"3296","0","3","Operation/Personnel Violations"
"3302","0","4","Use Of Force"
"3382","0","9","Operation/Personnel Violations"
"3869","0","6","Operation/Personnel Violations"
"4113","0","7","Operation/Personnel Violations"
"4161","0","7","Operation/Personnel Violations"
"4473","0","11","Illegal Search"
"4872","0","2","Drug / Alcohol Abuse"
"5107","0","2","Operation/Personnel Violations"
"5888","0","12","Operation/Personnel Violations"
"6130","0","15","Operation/Personnel Violations"
"6225","0","11","Operation/Personnel Violations"
"6262","0","1","Operation/Personnel Violations"
"6322","0","5","Operation/Personnel Violations"
"7032","0","26","Illegal Search"
"7504","0","27","Operation/Personnel Violations"
"7539","0","4","Operation/Personnel Violations"
"7637","0","11","Supervisory Responsibilities"
"8640","0","33","Operation/Personnel Violations"
"8846","1","14","Operation/Personnel Violations"
"8977","0","12","Operation/Personnel Violations"
"9114","0","3","Operation/Personnel Violations"
"9134","0","44","Use Of Force"
"9207","0","9","Operation/Personnel Violations"
"9295","0","17","Operation/Personnel Violations"
"9809","0","17","False Arrest"
"9954","1","1","Use Of Force"
"10070","0","9","Use Of Force"
"10141","0","13","Verbal Abuse"
"10246","1","13","Use Of Force"
"10284","0","8","Illegal Search"
"10382","0","2","Domestic"
"10670","0","1","Operation/Personnel Violations"
"10946","0","18","Use Of Force"
"11420","0","6","Illegal Search"
"11581","0","21","Use Of Force"
"12164","0","29","Operation/Personnel Violations"
"12596","0","8","Operation/Personnel Violations"
"12697","0","6","Conduct Unbecoming (Off-Duty)"
"12860","0","5","Illegal Search"
"12970","0","4","Operation/Personnel Violations"
"13058","0","5","Lockup Procedures"
"13166","0","12","Operation/Personnel Violations"
"13242","0","7","Operation/Personnel Violations"
"13551","0","15","Operation/Personnel Violations"
"13612","0","56","Use Of Force"
"13871","0","8","Lockup Procedures"
"13882","0","2","Illegal Search"
"13964","0","1","Traffic"
"14106","0","33","Conduct Unbecoming (Off-Duty)"
"14116","0","2","Illegal Search"
"14124","0","27","Illegal Search"
"14158","0","3","Operation/Personnel Violations"
"14353","0","20","Illegal Search"
"14415","0","28","Operation/Personnel Violations"
"14442","1","56","Use Of Force"
"14573","0","11","Operation/Personnel Violations"
"14794","0","3","Operation/Personnel Violations"
"15315","0","10","Operation/Personnel Violations"
"16404","1","7","Use Of Force"
"16586","0","6","Operation/Personnel Violations"
"16940","0","16","Operation/Personnel Violations"
"17197","0","29","Use Of Force"
"19156","0","2","Criminal Misconduct"
"19603","0","3","Illegal Search"
"19702","0","1","Use Of Force"
"19859","0","8","Illegal Search"
"19921","0","10","Use Of Force"
"20507","1","15","Operation/Personnel Violations"
"20629","0","1","Operation/Personnel Violations"
"21232","0","2","Lockup Procedures"
"21439","0","24","Operation/Personnel Violations"
"21877","0","2","Operation/Personnel Violations"
"22350","0","7","Operation/Personnel Violations"
"22622","1","54","Use Of Force"
"23362","0","28","Illegal Search"
"23406","0","16","Criminal Misconduct"
"23643","0","23","Illegal Search"
"23754","0","3","Operation/Personnel Violations"
"24425","0","62","Use Of Force"
"24964","0","2","Conduct Unbecoming (Off-Duty)"
"24974","0","15","Operation/Personnel Violations"
"25771","0","4","Bribery / Official Corruption"
"25834","0","1","Verbal Abuse"
"26555","0","13","Illegal Search"
"27105","0","6","Operation/Personnel Violations"
"27453","0","1","Verbal Abuse"
"27753","0","3","Operation/Personnel Violations"
